cat__Type_H,cat__Type_L,cat__Type_M,num__Air temperature [K],num__Process temperature [K],num__Rotational speed [rpm],num__Torque [Nm],num__Tool wear [min],num__Difference temperature [K],num__Power,Heat Dissipation Failure,No Failure,Overstrain Failure,Power Failure,Tool Wear Failure
0.0,1.0,0.0,0.005100037721255536,-0.13454657824214034,-0.919763701581949,-0.025832676633280195,-0.030730752434725638,-0.21068129137707547,-0.5317565104988297,False,True,False,False,False
0.0,1.0,0.0,0.8550593196392167,0.6052277705795359,-0.7406964832198651,0.6472033847586015,1.5781331311038618,-0.8118742274685647,0.5216832292399703,False,False,False,False,True
0.0,0.0,1.0,0.30508566663349046,-0.13454657824214034,-0.5127927507590311,0.3007877649245446,-1.497636058014026,-0.8118742274685647,0.21947692794502197,False,True,False,False,False
0.0,1.0,0.0,-0.34488319600966627,0.3362189164625697,-1.413555121913756,1.9734803292661336,-1.4503165320275968,1.1921022261696568,1.6285670335592872,False,True,False,False,False
0.0,0.0,1.0,0.5050760859082948,0.6052277705795359,1.2127640807301412,-1.5500614039031309,1.1364842218971907,-0.11048246869520037,-1.658660015234514,False,True,False,False,False
0.0,1.0,0.0,0.905056924457932,-0.201798791771401,0.30657543023111045,-0.9364108773399443,0.2689595788126583,-2.1144589223334203,-1.0896698670635003,False,True,False,False,False
0.0,0.0,1.0,-0.8448592441967055,-0.8070687135345942,-0.8166643940401431,1.043106950283238,-1.4818628826852163,0.49071046739629065,0.99835384806845,False,True,False,False,False
0.0,1.0,0.0,-0.19489038155354882,0.47072334352105283,2.064689937786116,-1.6391397061461739,1.5465867804462425,1.0919034034877229,-1.4579198409044998,False,False,False,False,True
1.0,0.0,0.0,2.005004230469413,2.152028681752187,-0.13295319665764097,0.32058294320077674,-0.17268933039401277,-0.8118742274685647,0.5401801132971471,False,True,False,False,False
0.0,0.0,1.0,-1.3948328972024602,-1.4123386352978256,-0.062411565181668516,-0.3920434747435692,1.420401377815765,0.6911081127601014,-0.47396708458762793,False,True,False,False,False
0.0,0.0,1.0,-0.5448736152844991,0.06721006234560345,0.6158733528565281,-0.8275373968206692,1.026071994595523,1.1921022261697118,-0.7450186970563297,False,True,False,False,False
0.0,1.0,0.0,0.1050952473586577,-0.13454657824214034,-0.6050394996122258,1.49839605063657,-0.07805027842115468,-0.41107893674088447,1.8270375325513992,False,True,False,False,False
0.0,1.0,0.0,0.35508327145217733,-0.3363032188298841,0.8166456885958343,-0.9463084664780601,-0.6774309409159226,-1.2126695181961862,-0.8289093893534063,False,True,False,False,False
0.0,1.0,0.0,1.3050377630075691,1.2777499058719897,-0.5073664714147255,0.9540286480401949,-0.5512455382854451,-0.711675404786686,1.150596686118504,False,True,False,False,False
0.0,1.0,0.0,-1.444830502021147,-1.143329781180821,-0.246905062888058,0.5878178499299059,1.3099891505140973,1.1921022261696568,0.8441711165671989,False,True,False,False,False
0.0,0.0,1.0,1.0550497389140494,-4.2151183657219536e-05,-1.0120104504351437,0.5185347259630949,-1.592275109986884,-2.1144589223334203,0.1257994731866491,True,False,False,False,False
0.0,1.0,0.0,1.6550209967384908,0.9414888382257628,0.4802163692488888,-0.72856150543951,-1.6553678113021228,-1.9140612769696093,-0.6633006854245955,False,True,False,False,False
0.0,1.0,0.0,1.2050425533701385,0.9414888382257628,1.5708985174543089,-1.2828264971740013,0.22164005282622926,-1.0122718728323754,-1.0242275614873206,False,True,False,False,False
0.0,0.0,1.0,0.7050665051830992,0.8069844111672797,-0.35543064977416944,-0.3326579399148736,-1.2925847787395002,-0.21068129137707547,-0.5761024747932257,False,True,False,False,False
1.0,0.0,0.0,-0.5448736152844991,0.06721006234560345,-0.4531036779716698,0.4393540128581672,0.7737011893345681,1.1921022261697118,0.4632342395553615,False,True,False,False,False
0.0,0.0,1.0,1.3050377630075691,0.6724799841087966,0.002703786949998355,-0.015935087495164143,0.5371035594024228,-1.6134648089238648,0.1361682036833049,False,True,False,False,False
0.0,1.0,0.0,-0.8948568490154208,-1.143329781180821,-1.288750696994728,0.9837214154545424,-0.9771212721633065,0.08991517666867091,0.4971629760168218,False,True,False,False,False
0.0,0.0,1.0,-1.2448400827463426,-1.008825354122338,-0.7624016005970874,1.053004539421354,-1.592275109986884,0.991704580805846,1.060828116664296,False,True,False,False,False
0.0,1.0,0.0,-0.994852058652823,-0.8070687135345942,0.2143286813779157,-0.3722482964673371,-0.5354723629566355,0.7913069354420352,-0.2657098231342191,False,True,False,False,False
0.0,0.0,1.0,-0.39488080082838156,-0.8070687135345942,-1.2344879035516723,1.2509563221836724,1.3573086765005262,-0.41107893674088447,0.8895840222597541,False,True,False,False,False
0.0,1.0,0.0,1.7050186015571778,1.9502720411644436,-0.8275169527287543,1.409317748393527,0.03236194888051309,-0.51127775942282,1.4870615057616179,False,True,False,False,False
0.0,0.0,1.0,-0.7948616393780187,-1.479590848827048,0.4096747377729163,-0.8176398076825532,1.0418451699243327,-0.611476582104697,-0.8454372815576171,False,True,False,False,False
0.0,0.0,1.0,-0.7448640345593034,-0.4035554323591448,0.12750821186902653,-0.6097904357821189,0.67906213736171,0.8915057581239104,-0.6860459361398965,False,True,False,False,False
0.0,1.0,0.0,1.755016206375893,2.0175242546937042,-0.322872973708336,-0.13470615715255538,-0.3935137849973483,-0.51127775942282,-0.2673684320349943,False,True,False,False,False
0.0,0.0,1.0,1.1550449485514516,1.2104976923427673,-1.0120104504351437,1.0134141828688905,-0.04650392776353532,-0.51127775942282,0.7829383797801199,False,True,False,False,False
0.0,0.0,1.0,-0.2948855911909794,-0.4035554323591448,-1.1693725514200053,0.7560768652778767,-1.1348530254514033,-0.010283646013264732,0.3076159869002227,False,True,False,False,False
0.0,1.0,0.0,-0.44487840564706843,-1.2105819947100818,-0.7189913658426428,0.6472033847586015,-1.497636058014026,-0.9120730501504986,0.5396854404670917,False,True,False,False,False
0.0,0.0,1.0,-0.5948712201031859,0.4034711299918304,0.5344791626919445,-0.5998928466440036,-1.544955584000455,1.793295162261146,-0.4249847749448681,False,True,False,False,False
0.0,1.0,0.0,-1.2448400827463426,-1.0760775676515986,-0.284889018298197,-0.03573026577139625,-0.17268933039401277,0.8915057581239104,-0.09680330033837165,False,True,False,False,False
0.0,1.0,0.0,-0.39488080082838156,0.1344622758748259,0.8437770853173622,-0.9166156990637123,-1.497636058014026,0.991704580805846,-0.764834708660322,False,True,False,False,False
0.0,1.0,0.0,-1.294837687565058,-1.143329781180821,-1.0554206851895884,0.5878178499299059,-1.008667622820926,0.8915057581239691,0.1822600720837795,False,True,False,False,False
0.0,1.0,0.0,0.35508327145217733,0.5379755570503135,0.605020794167917,-0.8176398076825532,0.06390829953813244,0.08991517666867091,-0.7350961420534494,False,True,False,False,False
